wl,n
0.25,1.694+3.666i
0.26,1.8+4.072i
0.27,2.129+4.69i
0.28,3.052+5.258i
0.29,4.426+5.16i
0.3,5.055+4.128i
0.31,5.074+3.559i
0.32,5.102+3.269i
0.33,5.17899999999999+3.085i
0.34,5.29299999999999+2.951i
0.35,5.483+2.904i
0.36,6.01399999999999+2.912i
0.37,6.86299999999999+2.051i
0.38,6.54799999999999+0.885i
0.39,5.976+0.465i
0.4,5.587+0.303i
0.41,5.305+0.22i
0.42,5.091+0.167i
0.43,4.925+0.134i
0.44,4.793+0.109i
0.45,4.676+0.091i
0.46,4.577+0.077i
0.47,4.491+0.064i
0.48,4.416+0.057i
0.49,4.348+0.05i
0.5,4.293+0.045i
0.51,4.239+0.039i
0.52,4.192+0.036i
0.53,4.15+0.033i
0.54,4.11+0.03i
0.55,4.077+0.028i
0.56,4.044+0.026i
0.57,4.015+0.024i
0.58,3.986+0.023i
0.59,3.96199999999999+0.021i
0.6,3.93899999999999+0.02i
0.61,3.916+0.018i
0.62,3.895+0.017i
0.63,3.87899999999999+0.016i
0.64,3.861+0.015i
0.65,3.844+0.015i
0.66,3.83+0.014i
0.67,3.815+0.013i
0.68,3.8+0.012i
0.69,3.787+0.011i
0.7,3.77399999999999+0.011i
0.71,3.762+0.011i
0.72,3.751+0.01i
0.73,3.741+0.009i
0.74,3.73199999999999+0.008i
0.75,3.723+0.008i
0.76,3.714+0.007i
0.77,3.705+0.007i
0.78,3.696+0.006i
0.79,3.688+0.006i
0.8,3.681+0.005i
0.81,3.674+0.005i
0.82,3.668+0.005i
0.83,3.662+0.004i
0.84,3.656+0.004i
0.85,3.65+0.004i
0.86,3.64399999999999+0.003i
0.87,3.638+0.003i
0.88,3.63199999999999+0.003i
0.89,3.626+0.002i
0.9,3.62+0.002i
0.91,3.614+0.002i
0.92,3.608+0.002i
0.93,3.602+0.002i
0.94,3.597+0.001i
0.95,3.592+0.001i
0.96,3.58699999999999+0.001i
0.97,3.582+0.001i
0.98,3.578+0.001i
0.99,3.574+0.001i
1,3.57+0.001i
1.01,3.566
1.02,3.563
1.03,3.56
1.04,3.557
1.05,3.554
1.06,3.551
1.07,3.548
1.08,3.546
1.09,3.544
1.1,3.541
1.11,3.539
1.12,3.537
1.13,3.534
1.14,3.532
1.15,3.53
1.16,3.528
1.17,3.526
1.18,3.524
1.19,3.522
1.2,3.52
1.21,3.528
1.22,3.516
1.23,3.515
1.24,3.513
1.25,3.511
1.26,3.51
1.27,3.508
1.28,3.507
1.29,3.506
1.3,3.504
1.31,3.503
1.32,3.501
1.33,3.5
1.34,3.498
1.35,3.497
1.36,3.496
1.37,3.495
1.38,3.493
1.39,3.492
1.4,3.491
1.41,3.49
1.42,3.489
1.43,3.488
1.44,3.487
1.45,3.486
